employee_id,skill,proficiency_1_10,years_experience,last_used,wants_to_improve,learning_priority
E036,Rust,6,3,2021-10-03,No,High
E060,Python,4,5,2019-06-16,Yes,Medium
E008,Big Data,10,5,2022-04-05,No,Medium
E059,iOS Development,10,7,2020-03-30,No,High
E002,UI/UX Design,5,6,2019-04-28,No,High
E032,Android Development,4,5,2022-09-30,Yes,High
E098,Kubernetes,9,9,2024-09-01,Yes,High
E094,React,6,10,2022-09-24,Yes,Low
E091,Machine Learning,7,3,2021-05-08,No,Low
E024,C++,9,10,2018-09-02,Yes,Low
E039,Python,9,6,2024-03-05,Yes,Low
E049,Big Data,9,3,2023-04-20,No,High
E073,Machine Learning,8,6,2024-01-11,Yes,High
E049,Machine Learning,8,9,2019-08-04,Yes,Medium
E047,Go,7,9,2023-10-30,No,High
E096,Python,10,6,2021-04-21,No,Low
E078,Leadership,8,9,2020-12-08,No,High
E040,Big Data,5,8,2021-09-06,No,High
E082,Security Audit,8,3,2024-06-24,Yes,Low
E056,NLP,4,6,2019-12-21,Yes,Medium
E046,iOS Development,4,1,2019-04-03,No,Medium
E092,Go,4,1,2018-01-11,No,Medium
E051,Testing,8,2,2020-10-08,No,Low
E038,UI/UX Design,10,8,2024-01-27,Yes,Medium
E034,Machine Learning,7,9,2020-01-10,No,High
E062,Testing,8,9,2022-11-22,No,Low
E015,Data Analysis,10,2,2020-01-19,No,High
E080,Team Management,10,2,2024-01-16,No,High
E050,CI/CD,6,6,2023-03-23,Yes,Low
E084,JavaScript,8,2,2020-08-14,Yes,Low
E067,Python,10,5,2023-03-03,Yes,Low
E012,JavaScript,8,7,2024-05-04,Yes,High
E044,NLP,6,4,2018-08-13,Yes,Low
E070,Security Audit,7,5,2020-01-24,No,Medium
E003,JavaScript,7,8,2023-07-05,Yes,High
E055,UI/UX Design,6,7,2022-10-12,No,Low
E016,Testing,7,5,2023-06-16,Yes,High
E089,Agile Methodologies,7,6,2019-09-25,No,Medium
E005,Agile Methodologies,6,6,2018-01-05,Yes,Medium
E054,CI/CD,9,4,2023-05-11,No,Low
E039,Python,6,6,2019-05-23,No,Medium
E098,Machine Learning,5,3,2018-10-30,Yes,Low
E085,Docker,7,4,2018-08-21,Yes,Low
E028,Java,6,10,2019-02-04,Yes,Low
E047,Project Management,9,5,2022-08-19,Yes,High
E046,JavaScript,7,8,2020-01-29,No,Low
E029,iOS Development,6,2,2021-02-08,No,Low
E017,JavaScript,7,10,2022-02-20,No,Low
E048,Cloud Deployment,9,6,2021-05-01,Yes,Medium
E042,JavaScript,8,4,2024-09-13,Yes,Low
E094,Project Management,4,2,2020-07-03,No,Low
E072,C++,10,6,2022-09-20,No,High
E068,API Integration,9,10,2024-07-20,No,Low
E068,API Integration,4,8,2018-05-06,Yes,High
E014,Machine Learning,7,10,2021-09-11,Yes,Low
E015,Machine Learning,5,10,2019-03-12,No,Low
E089,CI/CD,4,9,2022-02-26,Yes,Low
E014,JavaScript,6,4,2024-03-16,No,High
E019,Testing,7,3,2020-06-04,Yes,Low
E050,Project Management,7,7,2018-01-19,Yes,High
E067,C++,9,10,2022-05-10,No,High
E072,Leadership,10,6,2023-10-02,No,Medium
E059,Project Management,5,9,2020-03-03,Yes,Medium
E082,Database Design,8,8,2023-05-24,Yes,Low
E081,Testing,7,6,2021-11-03,Yes,Low
E007,C++,5,7,2019-10-31,Yes,Medium
E011,Machine Learning,7,2,2018-01-09,No,High
E052,Deep Learning,4,5,2022-04-24,No,High
E014,React,6,6,2019-11-08,Yes,High
E048,Communication,8,8,2021-09-13,Yes,Low
E029,API Integration,4,8,2019-12-10,No,Low
E057,Android Development,10,5,2022-09-17,No,High
E098,C++,7,10,2021-11-19,Yes,Medium
E005,Machine Learning,8,3,2018-05-05,No,High
E080,Project Management,4,3,2022-08-17,Yes,Medium
E024,Testing,8,8,2022-02-26,Yes,Medium
E093,Android Development,4,5,2019-02-14,Yes,High
E086,UI/UX Design,10,2,2024-02-15,No,Low
E097,Agile Methodologies,10,7,2020-12-16,No,Medium
E037,iOS Development,9,4,2022-11-16,No,Low
E054,Java,7,7,2022-06-28,No,Low
E004,Communication,7,3,2021-01-03,Yes,High
E088,Project Management,4,8,2018-09-09,Yes,Low
E041,C++,9,7,2021-10-14,Yes,Medium
E093,Android Development,9,10,2024-02-28,Yes,Low
E023,CI/CD,9,5,2021-08-30,No,High
E070,Testing,8,10,2020-12-25,No,High
E018,Big Data,10,1,2024-04-03,Yes,High
E049,Project Management,5,4,2018-07-18,Yes,Medium
E066,Team Management,8,8,2018-05-19,No,Medium
E087,Database Design,5,7,2020-02-15,No,High
E094,API Integration,5,5,2019-06-24,No,Low
E035,Android Development,5,10,2019-08-02,No,High
E060,NLP,10,9,2023-09-19,Yes,Medium
E005,Cloud Deployment,10,5,2024-02-13,Yes,High
E007,Testing,8,3,2024-06-17,No,High
E062,Project Management,6,5,2019-11-30,Yes,High
E001,Testing,7,1,2024-01-05,No,Low
E089,Docker,8,5,2023-12-20,Yes,Medium
E060,Node.js,6,5,2021-09-11,Yes,Medium
E073,Go,6,5,2021-08-27,Yes,High
E094,Android Development,6,5,2022-12-31,No,High
E036,Machine Learning,7,6,2018-01-12,No,Medium
E065,Testing,8,10,2018-01-30,No,Medium
E006,Machine Learning,8,9,2020-11-14,Yes,Medium
E042,CI/CD,8,10,2022-07-14,No,Medium
E098,UI/UX Design,4,4,2023-06-29,Yes,Low
E078,Docker,8,10,2023-12-04,Yes,High
E037,Java,8,3,2021-11-01,No,Low
E086,Team Management,8,4,2020-12-17,No,Low
E068,API Integration,7,6,2022-12-29,Yes,Medium
E092,CI/CD,5,7,2019-05-23,Yes,High
E025,Rust,5,5,2020-01-19,Yes,High
E069,UI/UX Design,7,7,2019-01-12,Yes,Low
E029,Java,7,6,2023-10-02,Yes,Low
E076,Big Data,4,10,2019-08-15,No,Low
E068,Data Analysis,9,4,2018-02-28,Yes,High
E025,React,7,7,2024-10-24,Yes,Medium
E046,API Integration,4,8,2024-05-23,No,High
E009,Machine Learning,7,9,2023-06-03,Yes,Low
E044,Go,7,7,2023-09-12,Yes,Medium
E052,Communication,9,7,2020-03-05,Yes,High
E002,JavaScript,7,4,2020-09-25,Yes,Medium
E076,Machine Learning,8,7,2023-02-28,No,High
E017,Docker,4,5,2019-01-12,No,High
E099,Kubernetes,6,2,2023-04-11,Yes,Medium
E080,Leadership,8,7,2019-11-01,No,Low
E070,Docker,8,3,2018-10-27,Yes,Low
E037,Go,6,2,2019-06-27,No,Medium
E013,Docker,7,7,2018-08-28,Yes,Medium
E078,Testing,5,7,2023-02-03,Yes,High
E032,Machine Learning,10,2,2021-01-12,No,High
E096,Kubernetes,7,10,2024-01-25,Yes,High
E015,UI/UX Design,6,4,2022-07-07,Yes,High
E066,Agile Methodologies,8,10,2024-08-10,No,High
E027,Python,6,1,2021-03-17,No,High
E058,Big Data,7,8,2024-08-17,Yes,Low
E090,Leadership,6,5,2022-03-23,Yes,High
E047,UI/UX Design,10,1,2021-02-06,Yes,High
E060,Testing,6,9,2020-11-20,No,High
E069,UI/UX Design,10,2,2023-06-25,Yes,Low
E088,React,6,10,2019-10-21,Yes,Low
E023,Node.js,9,10,2022-10-14,No,High
E098,Testing,8,1,2021-09-09,Yes,Low
E075,Testing,8,4,2024-02-13,Yes,High
E044,API Integration,4,3,2023-11-26,Yes,High
E043,CI/CD,6,8,2021-09-06,Yes,Low
E034,Android Development,6,2,2023-07-07,No,Medium
E044,Database Design,9,4,2022-08-22,Yes,Low
E020,iOS Development,6,1,2018-08-19,No,Medium
E024,Leadership,6,5,2022-03-10,Yes,High
E035,Python,4,9,2022-10-04,No,High
E047,Python,8,6,2018-09-04,No,Low
E067,React,10,3,2022-09-16,No,Low
E086,API Integration,4,10,2021-08-06,No,Medium
E080,Security Audit,7,5,2020-07-26,No,Low
E037,Node.js,6,7,2018-12-07,No,Low
E061,Java,8,4,2019-04-07,Yes,High
E080,iOS Development,7,3,2021-05-02,No,Medium
E087,Data Analysis,4,1,2018-04-19,No,Low
E095,Rust,4,2,2019-12-23,No,Medium
E100,CI/CD,4,6,2018-11-25,No,Low
E062,Docker,5,4,2021-04-13,No,Low
E022,Team Management,5,7,2019-05-18,No,Medium
E039,Database Design,7,7,2021-11-19,Yes,Medium
E005,Kubernetes,6,3,2022-03-23,Yes,High
E031,NLP,4,4,2022-04-19,No,Medium
E046,Big Data,9,5,2020-11-13,No,Low
E058,Docker,6,3,2023-03-15,Yes,Medium
E004,JavaScript,5,6,2019-12-21,Yes,Medium
E060,Agile Methodologies,10,8,2024-10-29,No,High
E024,C++,8,8,2022-06-05,No,Low
E059,Node.js,9,4,2022-07-02,No,High
E048,C++,9,7,2018-01-08,Yes,High
E066,Kubernetes,10,5,2020-06-27,Yes,High
E094,Security Audit,9,2,2019-02-19,No,Low
E084,Go,10,4,2024-02-21,Yes,High
E046,NLP,10,6,2023-08-21,Yes,Low
E056,Rust,4,4,2024-06-06,Yes,High
E035,Deep Learning,9,5,2020-09-10,Yes,Medium
E049,Python,8,3,2023-11-03,Yes,High
E092,Big Data,8,7,2020-12-01,Yes,Medium
E054,Big Data,5,7,2019-10-05,No,Low
E066,Node.js,4,7,2020-05-15,No,Low
E040,Deep Learning,7,3,2020-07-12,No,Low
E041,Team Management,5,4,2018-06-08,Yes,Medium
E010,Project Management,4,10,2019-04-13,Yes,High
E065,C++,4,1,2022-04-23,Yes,Medium
E075,Go,6,7,2022-03-15,Yes,Medium
E048,Leadership,8,6,2020-12-09,No,Medium
E033,C++,10,3,2018-03-18,Yes,High
E094,Go,10,9,2022-09-06,No,High
E063,JavaScript,5,4,2018-12-30,Yes,High
E045,Rust,9,9,2018-10-03,No,Low
E044,Project Management,5,8,2019-02-11,Yes,Medium
E054,Machine Learning,6,6,2022-10-25,No,High
E057,Rust,8,5,2020-12-04,No,Low
E036,Android Development,8,8,2019-07-21,No,High
E060,NLP,7,9,2018-09-30,Yes,Medium
E044,Kubernetes,10,9,2020-11-03,No,High
E001,Payment Systems,7,3,2024-02-15,No,Medium
E003,Payment Systems,8,4,2024-01-20,No,Medium
E006,Payment Systems,6,2,2024-03-01,No,High
E010,Payment Systems,7,3,2024-02-10,Yes,Medium
E015,Payment Systems,8,4,2024-01-15,No,Low
E018,Payment Systems,6,2,2024-03-05,Yes,Medium
E020,Payment Systems,7,3,2024-02-20,No,Medium
E002,Security,8,5,2024-01-10,No,Low
E004,Security,7,4,2024-01-20,No,Medium
E009,Security,8,6,2024-01-25,No,Low
E012,Security,6,3,2024-03-10,Yes,High
E016,Security,7,4,2024-02-15,No,Medium
E019,Security,6,2,2024-03-01,Yes,Medium
E001,Authentication,7,4,2024-04-11,No,Medium
E003,Authentication,8,5,2024-06-11,Yes,High
E007,Authentication,6,3,2024-06-12,No,Low
E011,Authentication,7,4,2024-05-11,No,Medium
E015,Authentication,6,2,2024-04-12,Yes,High
E002,Agile Methodologies,7,2,2024-04-11,No,Medium
E004,Agile Methodologies,6,3,2024-07-19,No,High
E008,Agile Methodologies,8,4,2024-04-21,Yes,Medium
E010,Agile Methodologies,7,5,2024-07-11,No,High
E013,Agile Methodologies,8,2,2024-08-12,Yes,Medium
E017,Agile Methodologies,7,3,2024-02-21,Yes,Low
E005,NLP,6,4,2024-09-12,No,Medium
E011,NLP,7,5,2024-05-01,Yes,High
E014,NLP,7,2,2024-09-12,No,Low
E018,NLP,8,3,2024-06-08,No,Medium
E002,Node.js,6,4,2024-05-19,Yes,High
E012,Node.js,7,5,2024-03-12,No,Low
E017,Node.js,8,2,2024-01-22,Yes,Medium
E020,Node.js,6,3,2024-07-18,No,High
E005,Deep Learning,7,4,2024-04-12,No,Medium
E014,Deep Learning,8,5,2024-04-16,Yes,Low
E006,Deep Learning,7,4,2024-01-09,No,Medium