employee_id,week_start_date,total_hours_worked,overtime_hours,projects_worked_on,tasks_completed
E061,2024-07-22,36,0,P014,2
E030,2024-06-24,49,3,P007,1
E030,2024-01-29,47,0,P020,4
E051,2024-01-15,33,0,P019,2
E061,2024-03-04,30,2,P010,3
E079,2024-05-13,47,7,"P002,P011,P003",1
E078,2024-01-01,26,2,P010,3
E097,2024-05-27,34,1,"P017,P018",4
E075,2024-05-27,31,0,"P005,P009,P001",0
E054,2024-04-15,25,0,"P016,P018,P001",5
E064,2024-05-27,36,0,"P012,P014",0
E065,2024-05-27,28,0,"P013,P006",3
E014,2024-03-18,39,3,"P009,P005,P006",5
E012,2024-01-29,41,1,"P011,P002,P012",4
E063,2024-06-24,35,1,"P020,P016,P012",2
E009,2024-07-29,31,0,P001,3
E016,2024-06-17,38,0,P009,1
E018,2024-05-13,39,3,"P011,P018,P020",0
E016,2024-01-01,48,5,"P008,P002,P012",4
E079,2024-06-03,49,9,"P004,P020",3
E061,2024-01-29,36,0,"P016,P008,P018",2
E040,2024-04-15,37,4,P012,1
E014,2024-04-29,40,5,P005,2
E059,2024-02-05,33,0,P001,4
E009,2024-03-04,37,0,P013,3
E005,2024-06-17,44,4,"P012,P020,P002",4
E062,2024-01-15,50,2,P015,5
E008,2024-05-13,50,10,"P010,P013",4
E048,2024-02-12,34,0,"P004,P005",0
E009,2024-06-10,40,0,P010,5
E086,2024-06-24,39,0,P015,0
E051,2024-07-29,40,0,"P009,P006,P010",5
E014,2024-01-29,39,0,"P011,P001",3
E023,2024-01-08,48,8,"P019,P017",5
E084,2024-03-11,47,0,P011,2
E017,2024-06-24,39,4,"P001,P003,P014",3
E079,2024-03-25,50,10,"P008,P012,P009",0
E041,2024-03-11,50,10,"P014,P001",5
E033,2024-05-20,28,2,P006,0
E090,2024-07-08,50,3,"P013,P018",4
E021,2024-06-24,42,2,"P011,P018",4
E071,2024-06-10,50,10,"P015,P017",0
E043,2024-06-24,41,1,"P010,P002,P013",4
E036,2024-01-22,27,2,"P012,P006",3
E012,2024-01-29,35,1,"P014,P006,P016",1
E097,2024-04-29,33,1,"P012,P004",4
E011,2024-04-15,40,0,P002,1
E024,2024-06-17,32,4,"P002,P015,P020",1
E038,2024-02-12,30,0,"P017,P010",0
E077,2024-03-11,38,4,"P002,P019,P009",1
E015,2024-06-24,39,0,"P018,P020",0
E074,2024-01-22,25,1,"P005,P013",0
E025,2024-03-04,30,3,"P020,P011,P003",5
E053,2024-02-12,25,2,"P013,P009,P010",3
E030,2024-03-25,36,0,"P014,P018",3
E039,2024-05-13,36,3,P003,3
E031,2024-06-10,35,4,P016,4
E084,2024-03-18,42,2,P005,5
E045,2024-06-24,31,0,P019,0
E085,2024-01-22,32,0,P018,0
E082,2024-01-08,42,2,"P002,P004,P001",1
E096,2024-06-10,48,1,"P002,P009,P007",3
E065,2024-01-15,29,5,P012,2
E048,2024-02-05,41,2,P004,2
E014,2024-02-26,48,5,P002,0
E059,2024-07-01,41,2,P006,4
E060,2024-01-29,48,4,"P005,P010,P018",3
E011,2024-07-15,46,4,P013,2
E023,2024-01-22,38,0,"P007,P010,P009",2
E090,2024-06-03,42,2,P002,2
E024,2024-03-04,28,5,"P015,P007,P001",1
E031,2024-03-25,43,3,P001,0
E083,2024-07-22,46,6,"P001,P012,P014",1
E014,2024-03-25,31,0,"P012,P016,P006",3
E001,2024-01-15,49,9,"P007,P009,P011",1
E087,2024-01-08,30,5,P013,0
E077,2024-04-08,49,9,"P013,P016,P014",1
E034,2024-03-04,34,0,"P015,P014,P011",2
E093,2024-05-27,43,3,"P009,P012",5
E091,2024-04-22,48,2,P011,4
E003,2024-02-12,47,5,"P020,P009,P001",2
E013,2024-06-24,33,5,P016,4
E063,2024-01-22,32,0,"P006,P017,P007",4
E048,2024-05-13,45,5,"P012,P006",0
E054,2024-06-17,42,2,P003,1
E010,2024-04-08,25,0,P008,2
E090,2024-03-18,40,0,"P004,P005",5
E076,2024-03-04,34,0,P002,4
E069,2024-06-10,50,10,"P018,P016,P014",2
E042,2024-07-01,25,2,P003,2
E064,2024-05-20,48,2,"P015,P016,P019",1
E008,2024-06-10,50,10,"P017,P011",1
E097,2024-01-08,40,0,P018,1
E017,2024-07-29,39,0,P016,4
E072,2024-05-20,34,0,"P004,P005",2
E043,2024-07-01,47,0,"P016,P009,P002",1
E083,2024-05-27,28,0,"P008,P018,P001",3
E084,2024-02-19,49,3,"P012,P001",5
E001,2024-05-13,39,0,"P005,P015",5
E031,2024-05-06,32,5,"P016,P005",4
E012,2024-06-10,46,0,"P018,P010",0
E076,2024-06-10,43,3,P002,0
E032,2024-04-01,49,0,"P013,P017,P004",3
E022,2024-06-10,34,4,P004,1
E058,2024-01-15,45,5,"P006,P019",3
E080,2024-07-22,29,0,"P016,P012",1
E014,2024-02-26,45,5,"P017,P006,P013",5
E022,2024-03-25,40,0,P001,3
E068,2024-07-15,25,0,"P007,P016,P005",4
E030,2024-07-08,32,0,"P016,P008",3
E092,2024-02-26,26,0,"P010,P018",5
E068,2024-01-08,26,0,P012,2
E001,2024-07-22,35,3,P017,2
E054,2024-02-05,43,1,"P004,P009,P011",2
E074,2024-06-17,41,1,"P017,P009",5
E076,2024-01-08,32,1,"P001,P019,P018",4
E096,2024-02-19,26,0,"P011,P013,P014",5
E019,2024-04-08,45,2,"P007,P002,P019",4
E019,2024-05-13,38,1,"P018,P005,P011",4
E080,2024-07-15,48,3,"P006,P011,P008",1
E081,2024-04-08,46,2,"P012,P019",1
E065,2024-03-11,25,0,"P007,P002,P009",4
E081,2024-07-29,27,0,P010,4
E067,2024-04-22,46,6,P005,0
E005,2024-02-26,44,5,"P019,P014,P017",4
E045,2024-02-12,29,0,"P012,P014,P004",3
E085,2024-05-13,48,4,"P020,P009",0
E055,2024-05-27,50,10,"P004,P016,P003",5
E074,2024-07-08,44,4,P016,5
E039,2024-01-29,36,0,P018,4
E006,2024-02-05,34,0,P020,5
E085,2024-04-29,40,2,"P014,P002",5
E086,2024-07-29,32,5,"P020,P005",4
E092,2024-03-18,36,5,P009,5
E088,2024-01-08,33,0,"P020,P008",0
E093,2024-02-05,36,0,"P018,P010",4
E054,2024-06-24,42,2,"P014,P002",4
E019,2024-06-17,43,3,"P002,P004",4
E085,2024-02-19,28,0,P013,1
E071,2024-03-11,37,0,P007,0
E015,2024-05-06,47,1,"P004,P005",3
E030,2024-03-04,35,5,"P001,P018,P015",1
E093,2024-01-08,30,0,P012,5
E099,2024-01-22,49,4,"P018,P019",4
E031,2024-03-04,43,2,"P010,P007,P012",2
E045,2024-03-11,33,0,"P019,P009",4
E015,2024-01-15,41,1,"P014,P013,P003",3
E066,2024-02-12,43,4,P019,0
E001,2024-07-08,41,4,"P017,P007,P018",4
E082,2024-04-01,50,2,"P008,P009",0
E046,2024-05-27,49,9,"P020,P009",0
E035,2024-05-06,35,0,"P011,P013,P009",2
E032,2024-07-15,30,0,"P012,P007,P019",0
E048,2024-06-17,43,3,P002,5
E062,2024-03-25,31,0,"P020,P015,P011",3
E071,2024-04-15,42,3,P007,1
E080,2024-06-24,39,0,"P018,P004",3
E018,2024-01-29,44,4,P010,3
E094,2024-01-22,32,0,"P020,P010",0
E014,2024-07-08,26,5,"P004,P010",3
E058,2024-07-15,34,0,"P011,P008",2
E051,2024-05-06,31,5,P013,2
E008,2024-02-26,34,0,"P006,P012,P020",3
E098,2024-02-26,44,4,P003,3
E024,2024-02-19,33,0,P007,1
E030,2024-04-01,40,0,"P001,P002",0
E041,2024-02-26,41,1,"P010,P002",2
E026,2024-03-25,45,1,P020,5
E002,2024-07-22,39,0,"P008,P018,P004",5
E011,2024-05-27,26,0,P018,1
E078,2024-04-22,40,0,"P013,P017,P004",0
E094,2024-04-22,32,1,"P016,P013",1
E051,2024-03-18,30,5,"P019,P009",0
E073,2024-02-19,50,0,P018,5
E086,2024-03-25,26,0,"P018,P014",5
E039,2024-01-08,47,7,"P012,P007",5
E062,2024-06-17,32,3,P016,1
E099,2024-02-12,28,0,"P005,P020,P007",0
E052,2024-07-01,42,2,"P020,P015",2
E042,2024-02-19,47,0,"P001,P003,P012",0
E088,2024-05-06,27,2,"P006,P008",3
E009,2024-01-01,39,0,P005,2
E097,2024-04-29,30,3,P004,4
E039,2024-02-26,36,1,"P018,P002,P015",1
E026,2024-04-22,37,3,P011,0
E065,2024-02-05,49,9,"P015,P016,P012",2
E088,2024-06-17,38,2,"P012,P010,P003",5
E013,2024-04-22,28,1,"P004,P017",0
E015,2024-02-12,39,0,"P009,P001,P006",5
E021,2024-07-15,42,4,"P015,P016,P017",0
E093,2024-05-27,40,0,"P002,P015",0
E081,2024-05-06,27,0,P002,1
E010,2024-02-12,38,0,"P010,P014",3
E087,2024-07-15,46,6,"P016,P013,P017",5
E039,2024-02-26,35,0,"P009,P016,P008",2
E056,2024-03-04,37,0,"P003,P017,P005",1
E022,2024-07-01,34,2,"P004,P003,P020",1
E020,2024-04-29,35,0,"P016,P012",0
E077,2024-02-26,28,1,P001,3
E076,2024-01-01,35,3,"P017,P007,P003",0
E074,2024-07-29,25,2,P018,2
E076,2024-04-22,30,0,"P019,P018,P004",5
E077,2024-02-05,38,4,P016,4
E044,2024-05-13,41,1,"P009,P003",3
E018,2024-07-01,45,5,P001,0
E012,2024-01-29,47,7,"P015,P016",1
E079,2024-04-22,47,1,"P009,P017,P016",2
E055,2024-07-15,39,0,P007,4
E040,2024-07-22,37,0,"P017,P001",5
E004,2024-06-17,40,0,"P014,P007",0
E060,2024-07-08,39,4,"P006,P013,P018",3
E016,2024-03-18,43,3,"P002,P013",4
E061,2024-07-29,33,5,"P016,P019,P005",0
E047,2024-05-13,46,6,"P013,P016",3
E072,2024-02-26,34,0,P011,3
E012,2024-06-03,47,7,"P014,P001,P004",2
E081,2024-01-15,42,2,"P002,P017",1
E016,2024-07-22,37,1,"P015,P011,P016",5
E064,2024-06-17,43,2,P019,1
E001,2024-03-25,48,0,P011,3
E068,2024-01-01,45,5,"P002,P004,P014",5
E063,2024-01-01,39,0,P001,5
E043,2024-07-08,49,9,P013,0
E001,2024-02-19,33,0,P003,4
E041,2024-01-01,45,2,"P014,P013,P015",1
E009,2024-06-03,30,2,P018,4
E073,2024-03-04,26,0,"P004,P012,P005",2
E047,2024-04-15,31,0,P009,2
E002,2024-04-01,31,0,"P016,P008",4
E095,2024-06-03,34,3,"P011,P006,P009",5
E040,2024-04-22,25,0,P003,0
E097,2024-07-29,42,0,P016,0
E093,2024-03-11,34,5,"P018,P011,P012",0
E022,2024-01-15,43,3,P012,2
E042,2024-03-25,44,4,"P014,P005",3
E081,2024-04-15,40,0,"P015,P019",3
E059,2024-05-13,50,0,"P006,P001",4
E053,2024-05-20,42,4,P001,3
E061,2024-04-29,31,0,P006,5
E011,2024-06-10,49,4,"P015,P004",1
E077,2024-06-03,38,0,"P008,P020,P018",5
E097,2024-05-27,31,0,P008,5
E023,2024-02-12,36,1,"P011,P018",0
E001,2024-03-04,45,5,"P014,P013",5
E046,2024-05-06,40,5,"P002,P006,P010",2
E043,2024-03-18,47,7,"P006,P005",2
E036,2024-05-27,35,3,P018,5
E049,2024-06-24,32,4,"P015,P007",4
E015,2024-07-01,45,5,"P009,P015,P007",1
E042,2024-07-29,35,0,P013,2
E035,2024-03-04,25,4,"P010,P014",3
E073,2024-03-25,34,0,P016,1
E032,2024-05-13,50,0,"P003,P001,P007",1
E099,2024-04-29,47,3,"P009,P006",1
E009,2024-03-04,42,2,"P018,P020",5
E067,2024-01-22,39,0,"P008,P020,P002",3
E015,2024-04-22,33,4,"P012,P016,P001",5
E071,2024-07-01,34,5,"P003,P011,P004",2
E079,2024-04-01,28,4,"P003,P014",5
E055,2024-05-13,32,1,P012,1
E084,2024-04-15,27,0,"P013,P004,P018",5
E087,2024-04-01,34,0,"P013,P018",3
E066,2024-07-22,37,4,"P014,P008,P018",1
E037,2024-01-08,31,0,"P017,P019",0
E010,2024-04-01,34,0,"P016,P007,P005",2
E029,2024-05-27,42,0,P016,4
E047,2024-06-17,32,4,"P015,P004",3
E093,2024-04-22,26,2,"P019,P020",4
E089,2024-01-08,26,0,P004,4
E100,2024-07-08,30,0,P007,2
E037,2024-04-22,26,4,P006,3
E023,2024-03-04,29,0,"P019,P003",3
E048,2024-02-26,37,0,"P008,P012",2
E091,2024-03-11,39,0,P016,1
E045,2024-01-15,46,3,P003,1
E058,2024-07-22,28,2,P014,4
E071,2024-06-17,41,1,"P016,P006,P007",1
E021,2024-03-25,40,0,P020,0
E042,2024-07-08,25,4,"P005,P012,P020",3
E053,2024-07-22,40,4,"P005,P018,P012",3
E063,2024-04-01,33,0,"P005,P014,P017",1
E075,2024-01-29,41,4,P017,3
E031,2024-01-08,30,0,"P017,P018",0
E099,2024-05-06,48,8,P017,4
E077,2024-04-08,35,0,"P017,P003",3
E083,2024-06-10,32,0,"P007,P019,P003",1
E062,2024-03-11,39,0,"P013,P016",2
E077,2024-05-27,36,0,"P020,P013,P010",3
E050,2024-06-10,30,0,"P010,P020",1
E068,2024-02-12,45,1,P002,0
E060,2024-07-29,34,0,"P008,P001,P004",4
E047,2024-05-06,31,0,P013,5
E082,2024-06-10,28,1,"P010,P017,P015",2
E099,2024-01-22,31,0,"P011,P010",1
E036,2024-01-08,28,0,"P013,P005",1
E016,2024-04-29,41,3,"P012,P014,P016",5
E040,2024-04-01,40,0,"P020,P008,P005",0
E021,2024-07-29,29,2,"P005,P004",2
E013,2024-04-29,41,5,"P015,P019",1
E096,2024-04-01,42,2,"P013,P007",1
E037,2024-06-24,39,4,"P007,P019,P014",3
E002,2024-02-26,38,0,"P019,P009",2
E078,2024-07-01,50,10,"P010,P013",2
E070,2024-03-11,29,0,"P014,P016",5
E092,2024-07-01,48,4,P010,4
E043,2024-07-08,32,0,P015,5
E045,2024-04-01,50,5,"P006,P010,P002",5
E015,2024-06-24,32,0,"P017,P020",1
E015,2024-03-11,31,0,"P015,P010,P020",0
E081,2024-05-20,31,0,"P003,P012,P002",5
E060,2024-03-18,44,4,"P012,P004,P010",5
E014,2024-04-22,50,0,"P005,P007",3
E063,2024-04-29,31,1,"P016,P014",2
E012,2024-05-20,50,4,"P007,P013,P011",3
E091,2024-07-08,31,3,"P010,P008,P020",4
E044,2024-01-29,42,3,"P003,P018",5
E085,2024-02-26,27,0,"P011,P001,P017",1
E016,2024-02-12,40,0,"P010,P013,P003",1
E087,2024-02-19,48,8,"P016,P002,P011",3
E042,2024-06-17,33,0,P015,1
E021,2024-06-03,47,7,P009,4
E001,2024-03-25,34,3,"P004,P008",5
E081,2024-01-08,46,6,"P006,P014,P001",1
E095,2024-02-26,44,4,P011,1
E082,2024-01-22,48,8,P006,0
E007,2024-06-17,29,5,"P017,P014",0
E009,2024-07-15,32,4,"P006,P003,P008",4
E053,2024-05-27,35,0,"P004,P014",0
E039,2024-05-13,31,5,"P007,P013",5
E015,2024-03-04,34,0,P015,2
E083,2024-02-05,50,2,"P015,P018,P020",3
E095,2024-02-19,43,5,P014,5
E044,2024-01-29,39,0,"P019,P006,P014",0
E070,2024-07-22,42,3,P002,3
E038,2024-02-19,47,7,"P001,P003",1
E063,2024-04-08,41,2,"P006,P020",0
E080,2024-02-26,34,5,"P003,P005",1
E072,2024-02-19,28,0,"P003,P009",3
E065,2024-03-04,49,5,"P012,P017",4
E058,2024-01-08,41,1,"P009,P019",0
E046,2024-04-15,28,0,P019,3
E020,2024-04-29,46,2,"P004,P010,P013",5
E045,2024-07-15,44,4,"P017,P001",4
E075,2024-02-05,45,5,"P019,P001",4
E013,2024-04-15,36,0,P011,4
E014,2024-05-06,43,1,P020,3
E075,2024-04-15,29,0,"P001,P014,P007",4
E011,2024-05-20,29,0,"P012,P007",3
E062,2024-07-08,28,2,P006,0
E001,2024-02-19,42,4,P011,0
E059,2024-03-18,41,1,P018,5
E035,2024-06-10,32,3,P003,0
E032,2024-07-29,46,6,"P020,P019",3
E022,2024-07-29,33,0,"P002,P020,P015",4
E100,2024-01-01,42,2,"P017,P013,P016",5
E075,2024-02-19,26,0,"P005,P006",5
E036,2024-07-22,49,9,P011,2
E009,2024-01-08,36,0,P004,2
E062,2024-05-27,40,0,P015,1
E089,2024-03-11,49,9,"P020,P013",1
E046,2024-07-22,26,0,"P019,P007,P020",1
E023,2024-05-13,29,0,"P002,P019",3
E082,2024-02-19,33,4,"P016,P002,P017",1
E034,2024-05-20,43,0,"P005,P003,P018",1
E047,2024-03-25,50,10,"P009,P010",1
E039,2024-07-01,34,3,P005,5
E055,2024-01-15,27,0,"P011,P013,P019",2
E029,2024-03-11,41,1,"P001,P009",0
E077,2024-07-22,46,6,"P012,P003",5
E022,2024-03-04,37,5,"P002,P010",4
E004,2024-07-08,27,2,P003,4
E048,2024-03-04,35,0,"P004,P016",2
E100,2024-03-04,43,3,"P010,P011,P013",1
E084,2024-04-08,38,0,P004,0
E048,2024-02-05,49,9,P001,1
E072,2024-02-26,33,4,"P014,P001,P011",0
E016,2024-07-29,27,0,P018,0
E090,2024-03-25,31,0,"P018,P013,P014",3
E070,2024-01-22,26,2,"P007,P012,P001",2
E003,2024-07-08,30,0,P015,3
E086,2024-04-01,30,0,"P005,P017,P018",2
E064,2024-01-29,49,9,"P002,P013",0
E073,2024-01-29,34,4,"P001,P006",4
E044,2024-06-10,36,0,P014,0
E012,2024-06-10,25,0,P010,2
E016,2024-07-01,37,0,"P019,P003,P010",5
E051,2024-07-01,34,3,"P001,P008,P011",3
E010,2024-01-29,39,0,"P014,P004",2
E027,2024-03-25,28,0,P011,5
E027,2024-07-15,27,1,P008,1
E035,2024-05-13,40,0,"P011,P007,P020",5
E003,2024-02-12,42,3,"P014,P009,P013",1
E002,2024-01-15,33,0,"P014,P011",1
E056,2024-07-15,35,0,P006,1
E022,2024-03-04,29,0,P020,2
E008,2024-02-05,39,0,"P002,P016,P001",3
E041,2024-03-25,27,5,"P004,P011,P014",2
E048,2024-04-15,35,0,"P005,P019,P018",1
E023,2024-04-01,32,0,P015,0
E018,2024-06-10,40,0,P014,5
E081,2024-03-18,36,2,"P018,P007,P002",4
E035,2024-07-08,27,0,P006,1
E081,2024-02-05,32,2,P005,3
E013,2024-05-20,25,3,P008,3
E037,2024-05-20,36,5,P014,1
E043,2024-01-15,31,2,"P017,P018",1
E088,2024-01-22,44,3,P017,0
E009,2024-02-26,29,0,"P002,P001",0
E064,2024-07-22,45,4,"P017,P010,P013",3
E027,2024-05-20,46,6,P017,1
E066,2024-04-01,41,2,"P002,P011,P014",4
E090,2024-04-22,45,5,P019,1
E007,2024-06-17,49,3,P013,2
E017,2024-04-29,47,7,P017,0
E014,2024-07-22,33,0,P018,0
E040,2024-07-15,31,5,"P015,P007",5
E045,2024-01-22,41,1,"P008,P006",1
E082,2024-06-24,35,5,"P015,P018,P005",4
E064,2024-03-04,26,0,"P003,P005",5
E091,2024-05-27,35,0,"P016,P004",4
E048,2024-06-17,26,3,"P005,P011",1
E047,2024-04-22,26,0,P012,2
E056,2024-02-19,46,0,P019,1
E073,2024-04-08,25,0,P010,5
E068,2024-04-29,30,0,"P005,P016,P013",5
E011,2024-06-24,41,4,P006,2
E008,2024-03-11,33,0,"P016,P015,P003",2
E016,2024-07-22,49,9,P016,4
E006,2024-01-01,43,0,"P011,P007,P006",0
E023,2024-06-10,37,0,"P013,P005,P002",5
E035,2024-06-17,27,0,P002,0
E049,2024-06-10,45,5,"P015,P008,P009",2
E038,2024-06-10,33,3,"P010,P002",2
E014,2024-05-20,42,2,P005,2
E022,2024-03-25,29,0,P006,5
E066,2024-07-08,25,0,P002,1
E001,2024-01-29,37,1,"P013,P010,P012",3
E050,2024-07-15,38,0,"P010,P004,P011",5
E024,2024-02-19,31,4,"P015,P012,P020",5
E085,2024-03-18,32,0,"P005,P006,P004",5
E023,2024-01-01,36,1,"P009,P018,P001",0
E084,2024-06-24,25,2,"P007,P008,P002",1
E055,2024-04-01,27,0,"P012,P006,P010",0
E011,2024-05-13,38,0,"P020,P016",1
E015,2024-04-08,32,5,"P003,P018,P020",2
E016,2024-06-17,33,0,"P007,P014,P006",5
E026,2024-06-10,26,5,"P011,P006,P018",2
E060,2024-01-29,50,10,"P020,P016",1
E065,2024-02-12,26,5,"P006,P001",0
E085,2024-05-06,45,0,"P005,P003,P012",3
E030,2024-02-26,34,1,"P019,P016",2
E080,2024-03-04,36,0,"P010,P014",0
E081,2024-07-29,37,0,P017,2
E060,2024-06-17,26,0,"P018,P003",2
E090,2024-01-15,37,0,"P009,P010,P001",3
E069,2024-07-15,29,0,P019,3
E076,2024-04-15,46,6,"P010,P008",0
E059,2024-04-01,28,0,P005,3
E085,2024-07-22,25,0,"P004,P015,P013",3
E090,2024-02-19,49,9,"P011,P020",0
E076,2024-01-08,49,2,P001,0
E008,2024-02-26,41,1,"P014,P010",5
E043,2024-03-11,50,10,P001,4
E004,2024-07-01,42,2,"P014,P007",3
E033,2024-05-27,36,0,"P008,P010",4
E037,2024-03-11,31,0,P012,4
E037,2024-07-15,45,0,"P007,P008,P020",2
E096,2024-07-08,47,7,"P005,P007,P008",2
E002,2024-05-13,26,0,P009,3
E088,2024-03-25,37,0,"P007,P012,P020",5
E015,2024-05-20,26,5,"P001,P008",1
E099,2024-07-29,32,1,"P010,P007",2
E082,2024-06-24,35,0,"P004,P013",0
E032,2024-03-25,48,8,P012,3
E003,2024-04-29,28,1,P020,5
E088,2024-03-04,36,0,"P014,P015,P020",5
E014,2024-06-24,35,5,"P013,P001,P012",1
E097,2024-03-25,42,2,"P015,P007",1
E096,2024-05-27,30,5,"P014,P017",2
E065,2024-06-03,49,5,P018,5
E002,2024-06-17,41,1,"P001,P019,P011",1
E013,2024-05-06,43,3,"P003,P004",0
E017,2024-02-19,36,0,"P011,P016,P019",5
E097,2024-04-22,50,10,"P010,P006",2
E004,2024-04-29,27,5,P012,2
E079,2024-01-22,37,0,"P010,P017",3
E023,2024-03-18,48,5,"P004,P001,P014",5
E002,2024-01-29,36,0,"P017,P018",5
E042,2024-03-11,28,0,"P012,P002",2
E049,2024-05-06,48,8,P012,1
E065,2024-04-15,45,5,P003,3
E006,2024-06-24,48,8,"P006,P012",5
E071,2024-04-22,47,2,"P016,P011",0
E030,2024-07-01,45,5,"P016,P006",5
E069,2024-06-24,37,0,"P016,P019",3
E019,2024-04-29,33,0,P015,1
E019,2024-06-03,40,0,P018,3
E004,2024-05-20,50,0,"P014,P019,P001",3
